iter	Passed	Remaining
0	1	172
1	3	165
2	4	155
3	6	147
4	7	142
5	9	142
6	10	139
7	11	136
8	13	134
9	14	130
10	15	128
11	17	127
12	18	124
13	19	122
14	21	120
15	22	119
16	24	117
17	25	115
18	26	113
19	28	113
20	29	111
21	31	110
22	32	108
23	33	106
24	35	105
25	36	103
26	37	102
27	39	100
28	40	99
29	41	97
30	43	95
31	44	94
32	45	93
33	47	91
34	48	90
35	50	88
36	51	87
37	52	86
38	54	84
39	55	83
40	57	82
41	58	80
42	60	79
43	60	77
44	62	76
45	63	74
46	65	73
47	66	72
48	68	71
49	69	69
50	71	68
51	72	66
52	74	65
53	75	64
54	76	62
55	78	61
56	79	60
57	81	58
58	82	57
59	84	56
60	85	54
61	87	53
62	88	52
63	90	50
64	91	49
65	93	48
66	94	46
67	96	45
68	97	43
69	98	42
70	100	40
71	101	39
72	103	38
73	104	36
74	106	35
75	107	33
76	109	32
77	110	31
78	111	29
79	112	28
80	113	26
81	114	25
82	116	23
83	117	22
84	118	20
85	119	19
86	120	18
87	122	16
88	123	15
89	125	13
90	126	12
91	127	11
92	128	9
93	130	8
94	131	6
95	132	5
96	134	4
97	135	2
98	137	1
99	138	0
